,Alcohol,Appellation,Bottle Size,Category,Country,Date Published,Description,Designation,Name,Price,Province,Rating,Region,Subregion,User Avg Rating,Variety,Vintage,Winery
10,13.7%,"Edna Valley, Central Coast, California, US",750 ml,White, US,5/1/2021,"
                      Very light in the glass, this bottling begins with aromas of honeysuckle, grapefruit and pear peel on the clean nose. The palate is a bit subtle in texture, but delivers fine flavors of tart pear and apple skin.                      Matt Kettmann ",Paragon Vineyard,Tangent 2019 Paragon Vineyard Pinot Gris (Edna Valley),$17, California,88, Central Coast,Edna Valley,Not rated yet [Add Your Review],Pinot Gris,2019,Tangent
11,13.5%,"Dundee Hills, Willamette Valley, Oregon, US",750 ml,White, US,4/1/2021,"
                      The handwritten label indicates that this is a limited edition wine, sourced from the original vines, now a half century old. This is done in a subtle, elegant style that rewards your full attention. Hints of bee pollen, lemon rind and brioche adorn a deceptively light but textured and layered wine with a lingering finish. The green apple fruit anchors the palate without dominating.                      Paul Gregutt ",,The Eyrie Vineyards 2019 Pinot Gris (Dundee Hills),$41, Oregon,94, Willamette Valley,Dundee Hills,Not rated yet [Add Your Review],Pinot Gris,2019,The Eyrie Vineyards
12,13.9%,"Dundee Hills, Willamette Valley, Oregon, US",750 ml,White, US,4/1/2021,"
                      Eyrie was the first to plant Pinot Gris in America, long before it became Oregon's most famous white grape. No surprise that five decades later it's Eyrie that makes the state's most distinctive, elegant version of the grape. Beautifully textured mixed tree fruits—apple and white peach—are on display here, along with details of freshly baked bread and light herbs such as parsley. A touch of melon comes up in the back palate, and the wine just keeps chugging along through a marvelous finish.                      Paul Gregutt ",,The Eyrie Vineyards 2018 Pinot Gris (Dundee Hills),$21, Oregon,93, Willamette Valley,Dundee Hills,Not rated yet [Add Your Review],Pinot Gris,2018,The Eyrie Vineyards
13,12.9%,"Willamette Valley, Willamette Valley, Oregon, US",750 ml,White, US,4/1/2021,"
                      A chunky, fruity, tangy style, this delicious bottle pulls tangerine, pear and apple fruit flavors into the center ring. It's spicy, juicy and just plain yummy. As in past vintages, the intensity is further amped up by perfectly pitched acidity, thanks to no malolactic fermentation.                      Paul Gregutt ",Estate Bottled,Cardwell Hill 2019 Estate Bottled Pinot Gris (Willamette Valley),$20, Oregon,92, Willamette Valley,Willamette Valley,Not rated yet [Add Your Review],Pinot Gris,2019,Cardwell Hill
14,11.5%,"Santa Cruz Mountains, Central Coast, California, US",750 ml,White, US,4/1/2021,"
                      Clean and snappy aromas of crystallized citrus and pome fruits are sharp but forgiving on the nose of this barrel-fermented bottling, which also offers a hint of honey dust. The palate shows green-pear and tight apricot flavors, wrapped in a grippy texture and washed by refreshing acidity.                      Matt Kettmann ",Regan Vineyard,Bargetto 2019 Regan Vineyard Pinot Grigio (Santa Cruz Mountains),$28, California,92, Central Coast,Santa Cruz Mountains,Not rated yet [Add Your Review],Pinot Grigio,2019,Bargetto
15,13.6%,"Dundee Hills, Willamette Valley, Oregon, US",750 ml,White, US,4/1/2021,"
                      Fermented in a mix of French oak barrels and stainless steel, this rich, textural take on Pinot Gris boasts multiple layers. Plenty of ripe pear fruit anchors the palate, laced with touches of baking spice, vanilla cream and toasted walnuts. A most pleasurable wine for enjoying over the next two or three years.                      Paul Gregutt ",Reserve,Winter's Hill 2018 Reserve Pinot Gris (Dundee Hills),$29, Oregon,92, Willamette Valley,Dundee Hills,Not rated yet [Add Your Review],Pinot Gris,2018,Winter's Hill
16,12.5%,"Baden, Germany",750 ml,White, Germany,4/1/2021,"
                      Hints of smoke and cashew accent zippy lemon, apple and grapefruit flavors in this dry, medium-bodied white. Fresh-fruited yet anchored by a firm mineral undertone, it's a vibrant, juicy wine that's substantial enough to drink well through 2024.                      Anna Lee C. Iijima ",Kabinett Dry,Salwey 2018 Kabinett Dry Pinot Gris (Baden),$24,Baden,91,,,Not rated yet [Add Your Review],Pinot Gris,2018,Salwey
17,13%,"Pfalz, Germany",750 ml,White, Germany,4/1/2021,"
                      Pinot Gris (aka Pinot Grigio) is a pink-hued grape and this pretty, coppery-pink wine tiptoes the line between a white and rosé wine. Macerated on its skins for 12–18 hours, it offers concentrated raspberry and red apple flavors against a backdrop of citrusy acidity and a clean mineral tang. Dry and delightfully refreshing, it's a fantastic year-round accompaniment to everything from fish to game.                      Anna Lee C. Iijima ",Becker Family,Friedrich Becker 2018 Becker Family Pinot Gris (Pfalz),$24,Pfalz,91,,,Not rated yet [Add Your Review],Pinot Gris,2018,Friedrich Becker
18,12.5%,"North Fork of Long Island, Long Island, New York, US",750 ml,White, US,4/1/2021,"
                      This medium-bodied white starts off with zesty aromas of crushed stone, lime peel and white blossoms. There's rounded, juicy weight on the palate, yet still a tautness to the yellow plum and pear fruit that comes off slightly waxy. Bright acidity shines through, with a gentle creaminess lingering on the close.                      Alexander Peartree ",Estate Selection,Lenz 2015 Estate Selection Pinot Gris (North Fork of Long Island),$25, New York,91, Long Island,North Fork of Long Island,Not rated yet [Add Your Review],Pinot Gris,2015,Lenz
19,13%,"McMinnville, Willamette Valley, Oregon, US",750 ml,White, US,4/1/2021,"
                      Well-defined flavors feature green melon, lime and apple, with a sharp hint of gooseberry. It's a fresh, minerally style, relatively low in alcohol but nicely balanced. It did not go through malolactic, so it's a style that favors acid lovers.                      Paul Gregutt ",Estate,Yamhill Valley 2019 Estate Pinot Gris (McMinnville),$22, Oregon,90, Willamette Valley,McMinnville,Not rated yet [Add Your Review],Pinot Gris,2019,Yamhill Valley
20,11.5%,"North Fork of Long Island, Long Island, New York, US",750 ml,White, US,4/1/2021,"
                      From young vines planted in 2016, this wine is a triumph. Bright, zesty aromas of yellow apple, Meyer lemon and honeysuckle are concentrated and lifted on the nose. There's a gentle roundness to the light-bodied palate, with juicy, plush apple and lemon flavors that don't falter from start to finish. A bit of pithy waxiness lends some grip to an otherwise delightfully fruity wine.                      Alexander Peartree ",,Bedell 2019 Pinot Gris (North Fork of Long Island),$25, New York,90, Long Island,North Fork of Long Island,Not rated yet [Add Your Review],Pinot Gris,2019,Bedell
21,13.5%,"Santa Maria Valley, Central Coast, California, US",750 ml,White, US,4/1/2021,"
                      Slightly honeyed aromas kick off the nose of this bottling, which also shows orange blossom, struck stone, baked apple and a hint of wax. The palate tangs with grapefruit peel before leading into roasted apple and an array of floral flavors.                      Matt Kettmann ",Sierra Madre Vineyard,Lumen 2019 Sierra Madre Vineyard Pinot Gris (Santa Maria Valley),$30, California,90, Central Coast,Santa Maria Valley,Not rated yet [Add Your Review],Pinot Gris,2019,Lumen
22,12.1%,"Finger Lakes, Finger Lakes, New York, US",750 ml,White, US,4/1/2021,"
                      Lemon and lime peel aromas meld with depths of honeysuckle and honeycomb wax on the nose. There's a pleasing silkiness to the medium-bodied palate, with ample acidity lending lift. A gentle waxy lemon-rind note lingers on the close of this textural white.                      Alexander Peartree ",,Red Newt Cellars 2017 Pinot Gris (Finger Lakes),$17, New York,90, Finger Lakes,Finger Lakes,Not rated yet [Add Your Review],Pinot Gris,2017,Red Newt Cellars
23,13.5%,"Oregon, Oregon Other, Oregon, US",750 ml,White, US,4/1/2021,"
                      This fruit-powered, gulpable wine is loaded with a pear flavor. The midpalate fills out further with yellow apple fruit, and the lightly creamy finish satisfies. It's a fine everyday white wine.                      Paul Gregutt ",,A to Z 2019 Pinot Gris (Oregon),$16, Oregon,90, Oregon Other,Oregon,Not rated yet [Add Your Review],Pinot Gris,2019,A to Z
24,12.5%,"Pfalz, Germany",750 ml,White, Germany,4/1/2021,"
                      Grapefruit, pear and pineapple notes gain power from nose to finish in this fresh, fruity white. Dry and medium-bodied in style, it's a thirst-quenching, delicately saline sip with an easy yet elegant appeal. Best now–2023.                      Anna Lee C. Iijima ",,Villa Wolf 2019 Pinot Gris (Pfalz),$12,Pfalz,89,,,Not rated yet [Add Your Review],Pinot Gris,2019,Villa Wolf
25,11%,"Anderson Valley, Mendocino County, California, US",750 ml,White, US,4/1/2021,"
                      This skin-contact wine made from biodynamic grapes is iconoclastic and worth trying. A fascinating luminescent copper color and a scent like kombucha lead to vibrant mandarin orange, earth and almond flavors on a technically light body supported by tangy acidity. It looks and tastes like a rosé but the winery doesn't call it that.                      Jim Gordon ",Filigreen Farm,Donkey & Goat 2019 Filigreen Farm Pinot Gris (Anderson Valley),$30, California,89, Mendocino County,Anderson Valley,Not rated yet [Add Your Review],Pinot Gris,2019,Donkey & Goat
26,13.7%,"Finger Lakes, Finger Lakes, New York, US",750 ml,White, US,4/1/2021,"
                      Ripe yellow plum, apple, honeysuckle and honeycomb wax aromas carry to the billowy, textured palate. There's a gentle waxiness to the fruit flavors on the rich, medium-bodied palate, with just enough acidity for lift. It ends with some floral bitters.                      Alexander Peartree ",Golden Bosc,Living Roots 2018 Golden Bosc Pinot Gris (Finger Lakes),$22, New York,89, Finger Lakes,Finger Lakes,Not rated yet [Add Your Review],Pinot Gris,2018,Living Roots
27,12%,"Finger Lakes, Finger Lakes, New York, US",750 ml,White, US,4/1/2021,"
                      Apple, pear and lemon peel aromas are zesty and brisk on the nose. There's a pleasing roundness to the palate, with plenty of taut acidity and juicy orchard fruit flavors to lift it up.                      Alexander Peartree ",,Hazlitt 1852 Vineyards 2019 Pinot Gris (Finger Lakes),$17, New York,88, Finger Lakes,Finger Lakes,Not rated yet [Add Your Review],Pinot Gris,2019,Hazlitt 1852 Vineyards
28,13.2%,"Willamette Valley, Willamette Valley, Oregon, US",750 ml,White, US,4/1/2021,"
                      This is done in an easy-going, lightly fruity style, with an appealing flinty character. Fermented entirely in stainless, its slightly granular pear fruit is laced with lemon. The finish leaves a lingering hint of spice.                      Paul Gregutt ",,Territorial 2019 Pinot Gris (Willamette Valley),$19, Oregon,88, Willamette Valley,Willamette Valley,Not rated yet [Add Your Review],Pinot Gris,2019,Territorial
29,12.2%,"Finger Lakes, Finger Lakes, New York, US",750 ml,White, US,4/1/2021,"
                      Aromas of fresh apple and honeysuckle carry the delicate nose. There's a gentle roundness to the medium-bodied palate, with juicy orchard fruit flavors wrapped in a bit of dry honeycomb and white flowers.                      Alexander Peartree ",,Thirsty Owl Wine Company 2018 Pinot Gris (Finger Lakes),$15, New York,88, Finger Lakes,Finger Lakes,Not rated yet [Add Your Review],Pinot Gris,2018,Thirsty Owl Wine Company
30,13%,"California, California Other, California, US",750 ml,White, US,4/1/2021,"
                      Nectarine, lime-pith, lemon-blossom and pink-fleshed-fruit aromas show on the nose of this bottling, which exhibits the slightest shade of pink in the glass. Yellow-apple-skin flavors pop on the soft palate.                      Matt Kettmann ",,Estancia 2019 Pinot Grigio (California),$12, California,88, California Other,California,Not rated yet [Add Your Review],Pinot Grigio,2019,Estancia
31,12%,"Seneca Lake, Finger Lakes, New York, US",750 ml,White, US,4/1/2021,"
                      Aromas of juiced apple and pear meld with a bit of warm spice tones in this Pinot Gris that's partially aged in neutral French oak. Firmly medium in weight, there's roundness to the juicy orchard fruit on the palate, with a gentle wrapping of warm spice.                      Alexander Peartree ",,Hector Wine Company 2018 Pinot Gris (Seneca Lake),$18, New York,88, Finger Lakes,Seneca Lake,Not rated yet [Add Your Review],Pinot Gris,2018,Hector Wine Company
32,11.6%,"Chehalem Mountains, Willamette Valley, Oregon, US",750 ml,Sparkling, US,4/1/2021,"
                      Sourced from the Dion Vineyard, this refreshing, lightly sweet bubbly is much like a Prosecco, done with the pear fruit flavors of this iconic Oregon grape. Hints of honey that streak through the nose and the palate, along with the fruit sweetness that rounds off the acidity, make this exceptionally versatile as an aperitif, a mimosa mixer or even poured after dinner with a chunk of blue cheese.                      Paul Gregutt ",Sparkling,Abbey Road Farm 2019 Sparkling Pinot Gris (Chehalem Mountains),$29, Oregon,88, Willamette Valley,Chehalem Mountains,Not rated yet [Add Your Review],Pinot Gris,2019,Abbey Road Farm
33,11.85%,"Finger Lakes, Finger Lakes, New York, US",750 ml,White, US,4/1/2021,"
                      There's a distinct white button mushroom aroma to this wine, which adds a pleasing earthiness to the citrus and pear fruit. It's light in feel but properly lifted by refreshing acidity.                      Alexander Peartree ",Gigliotti Vineyards,Lakewood 2018 Gigliotti Vineyards Pinot Gris (Finger Lakes),$15, New York,87, Finger Lakes,Finger Lakes,Not rated yet [Add Your Review],Pinot Gris,2018,Lakewood
34,12%,"North Fork of Long Island, Long Island, New York, US",750 ml,White, US,4/1/2021,"
                      This bright, fruity wine is driven by banana, pineapple, pear and apple on the nose. There's a gentle creaminess to the palate, where the orchard fruit flavors are demure and are lifted by a mild vein on acidity.                      Alexander Peartree ",Small Batch Series Corey Creek Vineyard,Bedell 2019 Small Batch Series Corey Creek Vineyard Pinot Grigio (North Fork of Long Island),$25, New York,87, Long Island,North Fork of Long Island,Not rated yet [Add Your Review],Pinot Grigio,2019,Bedell
35,13%,"Willamette Valley, Willamette Valley, Oregon, US",750 ml,White, US,4/1/2021,"
                      Despite its youth, this is a mellow, simple wine, with pleasantly generic varietal flavors touching on pear fruit. The buttery finish suggests that some or all may have gone through malolactic fermentation. Drink this over the next year or two, chilled a bit to bring more focus.                      Paul Gregutt ",La Chouette Vineyard,The Great Oregon Wine Company 2019 La Chouette Vineyard Pinot Gris (Willamette Valley),$24, Oregon,87, Willamette Valley,Willamette Valley,Not rated yet [Add Your Review],Pinot Gris,2019,The Great Oregon Wine Company
36,13.1%,"Finger Lakes, Finger Lakes, New York, US",750 ml,White, US,4/1/2021,"
                      Brisk aromas of lemon-lime popsicle and red apple carry to the medium-bodied palate. There's tautness to the acidity and texture, holding all that juicy fruit in check, but it ends rather quickly.                      Alexander Peartree ",,Atwater 2018 Pinot Gris (Finger Lakes),$18, New York,87, Finger Lakes,Finger Lakes,Not rated yet [Add Your Review],Pinot Gris,2018,Atwater
37,12%,"Finger Lakes, Finger Lakes, New York, US",750 ml,White, US,4/1/2021,"
                      There's a slightly candied vibe to the brisk aromas of apple, pear and lemon on the nose. It's light in feel on the palate, with brisk orchard fruit flavors that end a bit short.                      Alexander Peartree ",,Dr. Konstantin Frank 2019 Pinot Gris (Finger Lakes),$17, New York,86, Finger Lakes,Finger Lakes,Not rated yet [Add Your Review],Pinot Gris,2019,Dr. Konstantin Frank
38,11%,"Finger Lakes, Finger Lakes, New York, US",750 ml,White, US,4/1/2021,"
                      Aromas of juiced pear and a hint of warm spice lead to the juicy palate. The flavors are a bit muted, but what's there is nice.                      Alexander Peartree ",,Penguin Bay 2019 Pinot Grigio (Finger Lakes),$16, New York,85, Finger Lakes,Finger Lakes,Not rated yet [Add Your Review],Pinot Grigio,2019,Penguin Bay
39,12%,"Finger Lakes, Finger Lakes, New York, US",750 ml,White, US,4/1/2021,"
                      Aromas of candied lemon and lime peels meld with a bit of savory yeast on the nose. It starts off creamy on the light-bodied palate, lifted by brisk flavors of yellow apple and citrus, with sharp acidity and more savoriness arising on the finish.                      Alexander Peartree ",,Glenora 2019 Pinot Gris (Finger Lakes),$15, New York,85, Finger Lakes,Finger Lakes,Not rated yet [Add Your Review],Pinot Gris,2019,Glenora
