,Alcohol,Appellation,Bottle Size,Category,Country,Date Published,Description,Designation,Name,Price,Province,Rating,Region,Subregion,User Avg Rating,Variety,Vintage,Winery
13,12.90%,"Willamette Valley, Willamette Valley, Oregon, US",750 ml,White, US,4/1/21,"
                      A chunky, fruity, tangy style, this delicious bottle pulls tangerine, pear and apple fruit flavors into the center ring. It's spicy, juicy and just plain yummy. As in past vintages, the intensity is further amped up by perfectly pitched acidity, thanks to no malolactic fermentation.                      Paul Gregutt ",Estate Bottled,Cardwell Hill 2019 Estate Bottled Pinot Gris (Willamette Valley),$20 , Oregon,92, Willamette Valley,Willamette Valley,Not rated yet [Add Your Review],Pinot Gris,2019,Cardwell Hill
15,13.60%,"Dundee Hills, Willamette Valley, Oregon, US",750 ml,White, US,4/1/21,"
                      Fermented in a mix of French oak barrels and stainless steel, this rich, textural take on Pinot Gris boasts multiple layers. Plenty of ripe pear fruit anchors the palate, laced with touches of baking spice, vanilla cream and toasted walnuts. A most pleasurable wine for enjoying over the next two or three years.                      Paul Gregutt ",Reserve,Winter's Hill 2018 Reserve Pinot Gris (Dundee Hills),$29 , Oregon,92, Willamette Valley,Dundee Hills,Not rated yet [Add Your Review],Pinot Gris,2018,Winter's Hill
16,12.50%,"Baden, Germany",750 ml,White, Germany,4/1/21,"
                      Hints of smoke and cashew accent zippy lemon, apple and grapefruit flavors in this dry, medium-bodied white. Fresh-fruited yet anchored by a firm mineral undertone, it's a vibrant, juicy wine that's substantial enough to drink well through 2024.                      Anna Lee C. Iijima ",Kabinett Dry,Salwey 2018 Kabinett Dry Pinot Gris (Baden),$24 ,Baden,91,,,Not rated yet [Add Your Review],Pinot Gris,2018,Salwey
17,13%,"Pfalz, Germany",750 ml,White, Germany,4/1/21,"
                      Pinot Gris (aka Pinot Grigio) is a pink-hued grape and this pretty, coppery-pink wine tiptoes the line between a white and rosé wine. Macerated on its skins for 12–18 hours, it offers concentrated raspberry and red apple flavors against a backdrop of citrusy acidity and a clean mineral tang. Dry and delightfully refreshing, it's a fantastic year-round accompaniment to everything from fish to game.                      Anna Lee C. Iijima ",Becker Family,Friedrich Becker 2018 Becker Family Pinot Gris (Pfalz),$24 ,Pfalz,91,,,Not rated yet [Add Your Review],Pinot Gris,2018,Friedrich Becker
18,12.50%,"North Fork of Long Island, Long Island, New York, US",750 ml,White, US,4/1/21,"
                      This medium-bodied white starts off with zesty aromas of crushed stone, lime peel and white blossoms. There's rounded, juicy weight on the palate, yet still a tautness to the yellow plum and pear fruit that comes off slightly waxy. Bright acidity shines through, with a gentle creaminess lingering on the close.                      Alexander Peartree ",Estate Selection,Lenz 2015 Estate Selection Pinot Gris (North Fork of Long Island),$25 , New York,91, Long Island,North Fork of Long Island,Not rated yet [Add Your Review],Pinot Gris,2015,Lenz
19,13%,"McMinnville, Willamette Valley, Oregon, US",750 ml,White, US,4/1/21,"
                      Well-defined flavors feature green melon, lime and apple, with a sharp hint of gooseberry. It's a fresh, minerally style, relatively low in alcohol but nicely balanced. It did not go through malolactic, so it's a style that favors acid lovers.                      Paul Gregutt ",Estate,Yamhill Valley 2019 Estate Pinot Gris (McMinnville),$22 , Oregon,90, Willamette Valley,McMinnville,Not rated yet [Add Your Review],Pinot Gris,2019,Yamhill Valley
20,11.50%,"North Fork of Long Island, Long Island, New York, US",750 ml,White, US,4/1/21,"
                      From young vines planted in 2016, this wine is a triumph. Bright, zesty aromas of yellow apple, Meyer lemon and honeysuckle are concentrated and lifted on the nose. There's a gentle roundness to the light-bodied palate, with juicy, plush apple and lemon flavors that don't falter from start to finish. A bit of pithy waxiness lends some grip to an otherwise delightfully fruity wine.                      Alexander Peartree ",,Bedell 2019 Pinot Gris (North Fork of Long Island),$25 , New York,90, Long Island,North Fork of Long Island,Not rated yet [Add Your Review],Pinot Gris,2019,Bedell
21,13.50%,"Santa Maria Valley, Central Coast, California, US",750 ml,White, US,4/1/21,"
                      Slightly honeyed aromas kick off the nose of this bottling, which also shows orange blossom, struck stone, baked apple and a hint of wax. The palate tangs with grapefruit peel before leading into roasted apple and an array of floral flavors.                      Matt Kettmann ",Sierra Madre Vineyard,Lumen 2019 Sierra Madre Vineyard Pinot Gris (Santa Maria Valley),$30 , California,90, Central Coast,Santa Maria Valley,Not rated yet [Add Your Review],Pinot Gris,2019,Lumen
22,12.10%,"Finger Lakes, Finger Lakes, New York, US",750 ml,White, US,4/1/21,"
                      Lemon and lime peel aromas meld with depths of honeysuckle and honeycomb wax on the nose. There's a pleasing silkiness to the medium-bodied palate, with ample acidity lending lift. A gentle waxy lemon-rind note lingers on the close of this textural white.                      Alexander Peartree ",,Red Newt Cellars 2017 Pinot Gris (Finger Lakes),$17 , New York,90, Finger Lakes,Finger Lakes,Not rated yet [Add Your Review],Pinot Gris,2017,Red Newt Cellars
23,13.50%,"Oregon, Oregon Other, Oregon, US",750 ml,White, US,4/1/21,"
                      This fruit-powered, gulpable wine is loaded with a pear flavor. The midpalate fills out further with yellow apple fruit, and the lightly creamy finish satisfies. It's a fine everyday white wine.                      Paul Gregutt ",,A to Z 2019 Pinot Gris (Oregon),$16 , Oregon,90, Oregon Other,Oregon,Not rated yet [Add Your Review],Pinot Gris,2019,A to Z
