,Alcohol,Appellation,Bottle Size,Category,Country,Date Published,Description,Designation,Name,Price,Province,Rating,Region,Subregion,User Avg Rating,Variety,Vintage,Winery
321,15.3%,"Paso Robles, Central Coast, California, US",750 ml,Red, US,10/1/2020,"
                      A blend of three vineyards, this bottling begins with rustic aromas of tangy cranberry, richer strawberry and charred fennel. Those roasted fruit flavors meet with a touch of oak and dusting of star anise on the palate, which is framed by decent acidity and noticeable tannins.                      Matt Kettmann ",,Eberle 2018 Zinfandel (Paso Robles),$34, California,89, Central Coast,Paso Robles,Not rated yet [Add Your Review],Zinfandel,2018,Eberle
322,15.5%,"Puglia, Southern Italy, Italy",750 ml,Red, Italy,10/1/2020,"
                      Rich cherry and blackberry aromas meld with violet and tilled earth tones on the nose. The palate shows a dried fruit character, with shots of orange rind and bright acidity to lend lift. This is an approachable Primitivo that should be enjoyed in the near term.                      Alexander Peartree ",Centosassi,Amastuola 2017 Centosassi Primitivo (Puglia),$30, Southern Italy,88,Puglia,,Not rated yet [Add Your Review],"Primitivo, Zinfandel",2017,Amastuola
323,14%,"Salento, Southern Italy, Italy",750 ml,Red, Italy,10/1/2020,"
                      A well-rounded nose offers aromas of ripe cherry and blackberry, sprinkled with hints of well-integrated spice tones—both savory and sweet. The medium-bodied palate is fleshed out and juicy in berry tones, lifted by accents of blood orange and violet, all framed in a gentle webbing of tannins. It's a well-structured yet approachable offering that will please many.                      Alexander Peartree ",,Rivera 2018 Primitivo (Salento),$11, Southern Italy,88,Salento,,Not rated yet [Add Your Review],"Primitivo, Zinfandel",2018,Rivera
324,12%,"Puglia, Southern Italy, Italy",750 ml,Red, Italy,10/1/2020,"
                      A rather reserved nose eventually opens up to cinnamon and orange peel, with purple blossoms and cranberry riding underneath. This is ultralight in feel on the palate, driven by zesty acidity that rounds out to juicy flavors of tart strawberry and cherry. The fruit does linger a bit on the finish, but it's a bit one-note.                      Alexander Peartree ",,Valentina Passalacqua 2018 Primitivo (Puglia),$28, Southern Italy,88,Puglia,,Not rated yet [Add Your Review],"Primitivo, Zinfandel",2018,Valentina Passalacqua
325,15.7%,"Paso Robles, Central Coast, California, US",750 ml,Red, US,10/1/2020,"
                      Muddled blueberry, clove and nutmeg aromas show on the nose of this bottling. The palate is thick and heavy with flavors of blackberry paste, backed up by loads of baking spice and oak.                      Matt Kettmann ",Mountain,Opolo 2018 Mountain Zinfandel (Paso Robles),$30, California,88, Central Coast,Paso Robles,Not rated yet [Add Your Review],Zinfandel,2018,Opolo
326,14.5%,"Primitivo di Manduria, Southern Italy, Italy",750 ml,Red, Italy,10/1/2020,"
                      A bright nose of orange spice, blackberry and dark cherry jam carries accents of anise and violet. This is supple and smooth on the palate, displaying polished fruit jam tones alongside shots of blood orange and warm spice. A bit of warmth shows on the palate, and it ends a little astringent, but overall this is enjoyable for its forward nature.                      Alexander Peartree ",,Borgo del Mandorlo 2018  Primitivo di Manduria,$16, Southern Italy,88,Primitivo di Manduria,,Not rated yet [Add Your Review],"Primitivo, Zinfandel",2018,Borgo del Mandorlo
327,14.5%,"Puglia, Southern Italy, Italy",750 ml,Red, Italy,10/1/2020,"
                      Taking the American moniker for the grape variety—a tribute to the wine's use of American oak—this wine offers dark cherry fruit tones that are firmly ensconced in accents of coffee and dark cocoa. It's rich on the palate, fully fleshed out by the lush fruit tones, with oaky spice showing good integration.                      Alexander Peartree ",Passo del Sud,Tagaro 2017 Passo del Sud Zinfandel (Puglia),$12, Southern Italy,88,Puglia,,Not rated yet [Add Your Review],Zinfandel,2017,Tagaro
328,13%,"Salento, Southern Italy, Italy",750 ml,Red, Italy,10/1/2020,"
                      Aromas of cherry cordial, brandy-soaked blackberry and a wealth of warm spices kick off the rich nose. It's rounded and ripe on the palate, echoing the nose but adding in a dense blackberry jam tone. It's all lifted by refreshing acidity, framed by well-mannered tannins and studded with spice.                      Alexander Peartree ",,Tratturi 2018 Primitivo (Salento),$11, Southern Italy,88,Salento,,Not rated yet [Add Your Review],"Primitivo, Zinfandel",2018,Tratturi
329,16%,"Dry Creek Valley, Sonoma, California, US",750 ml,Red, US,10/1/2020,"
                      This is a soft, round and approachable wine, boldly ripe and lush on the palate. Vanilla and black cherry dominate in flavor.                      Virginie Boone ",,Gallo Signature Series 2017 Zinfandel (Dry Creek Valley),$50, California,88, Sonoma,Dry Creek Valley,Not rated yet [Add Your Review],Zinfandel,2017,Gallo Signature Series
330,15.3%,"Dry Creek Valley, Sonoma, California, US",750 ml,Red, US,10/1/2020,"
                      This is a lushly concentrated and ripe wine, viscously textured and rich in cherry and vanilla. The oak takes on a sweetness that lingers.                      Virginie Boone ",Pauline's Vineyard,Kokomo 2018 Pauline's Vineyard Zinfandel (Dry Creek Valley),$36, California,88, Sonoma,Dry Creek Valley,Not rated yet [Add Your Review],Zinfandel,2018,Kokomo
